date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:18	3752/3752	---M--	200	added ('OK')	application/javascript	etag:%228e04621-ea8-53a43fe4d0ef6%22	http://eliteadmin.themedesigner.in/demos/plugins/bower_components/tiny-editable/mindmup-editabletable.js	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/plugins/bower_components/tiny-editable/mindmup-editabletable.js	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/editable-tables.html)
09:28:19	1283/1283	---M--	200	added ('OK')	application/javascript	etag:%228e046ff-503-53a43fe600d08%22	http://eliteadmin.themedesigner.in/demos/plugins/bower_components/tiny-editable/numeric-input-example.js	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/plugins/bower_components/tiny-editable/numeric-input-example.js	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/editable-tables.html)
09:28:19	5511/5511	---M--	200	added ('OK')	text/css	etag:%222bdb555-1587-53a443fbe7c50%22	http://eliteadmin.themedesigner.in/demos/plugins/bower_components/footable/css/footable.core.css	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/plugins/bower_components/footable/css/footable.core.css	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/foo-tables.html)
09:28:20	2621/2621	---M--	200	added ('OK')	application/javascript	etag:%226a20506-a3d-53fd304192d12%22	http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/js/footable-init.js	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/eliteadmin-dark/js/footable-init.js	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/foo-tables.html)
09:28:21	1788/1788	---M--	200	added ('OK')	text/css	etag:%226b45223-6fc-53a4451a46765%22	http://eliteadmin.themedesigner.in/demos/plugins/bower_components/jsgrid/dist/jsgrid.min.css	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/plugins/bower_components/jsgrid/dist/jsgrid.min.css	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/jsgrid.html)
09:28:22	33099/33099	---M--	200	added ('OK')	text/css	etag:%22244df79-814b-53a445168ddb3%22	http://eliteadmin.themedesigner.in/demos/plugins/bower_components/jsgrid/dist/jsgrid-theme.min.css	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/plugins/bower_components/jsgrid/dist/jsgrid-theme.min.css	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/jsgrid.html)
09:28:26	24539/24539	---M--	200	added ('OK')	application/javascript	etag:%228baaba6-5fdb-53a43f3de6263%22	http://eliteadmin.themedesigner.in/demos/plugins/bower_components/jsgrid/db.js	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/plugins/bower_components/jsgrid/db.js	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/jsgrid.html)
09:28:26	37082/37082	---M--	200	added ('OK')	application/javascript	etag:%222bdb6ea-90da-53a444006dfcd%22	http://eliteadmin.themedesigner.in/demos/plugins/bower_components/footable/js/footable.all.min.js	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/plugins/bower_components/footable/js/footable.all.min.js	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/foo-tables.html)
09:28:28	7761/7761	---M--	200	added ('OK')	application/javascript	etag:%226a2052a-1e51-53fd3045785a4%22	http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/js/jsgrid-init.js	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/eliteadmin-dark/js/jsgrid-init.js	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/jsgrid.html)
09:28:32	19314/19314	---M--	200	added ('OK')	application/javascript	etag:%227a50d16-4b72-53a43e5deaad5%22	http://eliteadmin.themedesigner.in/demos/plugins/bower_components/flot/excanvas.min.js	C:/Users/Mazeyar/Desktop/School/Web/Roctracker/public/template/Elite%20Admin/eliteadmin.themedesigner.in/demos/plugins/bower_components/flot/excanvas.min.js	(from http://eliteadmin.themedesigner.in/demos/eliteadmin-dark/flot.html)
