date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:21	56813/56813	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/components_sortable.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/components_sortable.html	(from http://altair_html.tzdthemes.com/)
18:14:21	64158/64158	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/components_tabs.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/components_tabs.html	(from http://altair_html.tzdthemes.com/)
18:14:21	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Nov%202016%2017:14:18%20GMT	http://altair_html.tzdthemes.com/pages_mailbox.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/pages_mailbox.html	(from http://altair_html.tzdthemes.com/)
18:14:21	1721/1721	---M--	200	added ('OK')	image/png	etag:%225807f37e-6b9%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_07_tn.png	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/assets/img/avatars/avatar_07_tn.png	(from http://altair_html.tzdthemes.com/)
18:14:21	1677/1677	---M--	200	added ('OK')	image/png	etag:%225807f37e-68d%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_02_tn.png	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/assets/img/avatars/avatar_02_tn.png	(from http://altair_html.tzdthemes.com/)
18:14:22	1642/1642	---M--	200	added ('OK')	image/png	etag:%225807f37e-66a%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_09_tn.png	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/assets/img/avatars/avatar_09_tn.png	(from http://altair_html.tzdthemes.com/)
18:14:22	1689/1689	---M--	200	added ('OK')	image/png	etag:%225807f37e-699%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_11_tn.png	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/assets/img/avatars/avatar_11_tn.png	(from http://altair_html.tzdthemes.com/)
18:14:23	64786/64786	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:24%20GMT	http://altair_html.tzdthemes.com/page_settings.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/page_settings.html	(from http://altair_html.tzdthemes.com/)
18:14:23	7939/7939	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202016%2022:28:22%20GMT	http://altair_html.tzdthemes.com/login.html	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/login.html	(from http://altair_html.tzdthemes.com/)
18:14:23	466/466	---M--	200	added ('OK')	image/png	etag:%225807f37e-1d2%22	http://altair_html.tzdthemes.com/assets/img/logo_main.png	D:/WORKSPACE/web/Altair/altair_html.tzdthemes.com/assets/img/logo_main.png	(from http://altair_html.tzdthemes.com/)
